YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2013,71007,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,74522,812,1000000,1007549,NULL,60,2,2,NULL,1,1300,1,1,NULL,NULL,NULL,185000,1,1,60000,NULL,NULL,1,1,60000,1,4,28,1390,24,1,?
2013,83023,812,1000000,1007549,NULL,80,2,2,NULL,NULL,NULL,NULL,NULL,1300,NULL,NULL,NULL,8,3,85800,1400,20,3,1,85800,1,1,NULL,NULL,NULL,7,?
2013,86537,812,1000000,1007549,NULL,140,2,90,NULL,2,1300,2,1,NULL,2000,NULL,150000,3,NULL,NULL,NULL,NULL,1,4,14000,1,6,101,3763,22,NULL,?
2013,87581,812,1000000,1007549,NULL,10,2,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,1,4,330,1,2,NULL,NULL,NULL,NULL,?
2013,88144,812,1000000,1007549,NULL,150,1,2,NULL,NULL,NULL,NULL,NULL,990,NULL,NULL,NULL,4,7,33000,1390,51,2,3,33000,1,5,NULL,NULL,NULL,13,?
2013,89459,812,1000000,1007549,NULL,140,2,3,NULL,1,850,1,1,NULL,NULL,NULL,130000,6,7,78100,NULL,NULL,1,3,78100,1,3,15,994,20,13,?
2013,91664,812,1000000,1007549,NULL,80,2,2,NULL,2,330,1,1,NULL,NULL,NULL,220000,3,1,170000,NULL,NULL,4,1,170000,1,4,3,460,22,1,?
2013,91751,812,1000000,1007549,NULL,100,2,100,NULL,1,850,1,1,NULL,NULL,NULL,140000,1,5,71000,NULL,NULL,2,2,71000,1,2,18,1053,22,10,?
2013,97322,812,1000000,1007549,NULL,70,2,70,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,230000,2,4,29800,NULL,NULL,3,1,29800,1,7,13,332,18,9,?
2013,98470,812,1000000,1007549,NULL,160,1,2,NULL,NULL,NULL,NULL,NULL,1400,NULL,NULL,NULL,1,7,15000,1560,101,1,3,15000,1,1,NULL,NULL,NULL,13,?
2013,104436,812,1000000,1007549,NULL,230,2,2,NULL,1,1500,1,1,NULL,NULL,NULL,240000,1,1,111500,NULL,NULL,1,1,111500,1,3,19,1772,26,1,?
2013,105380,812,1000000,1007549,NULL,300,2,2,NULL,2,2000,1,1,NULL,300,NULL,335000,7,1,91000,NULL,NULL,1,1,91000,1,2,42,3167,68,1,?
2013,109009,812,1000000,1007549,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,112212,812,1000000,1007549,NULL,100,2,30,NULL,NULL,NULL,NULL,NULL,1500,NULL,NULL,NULL,8,NULL,NULL,1630,16,1,6,120000,1,3,NULL,NULL,NULL,NULL,?
2013,113507,812,1000000,1007549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,280000,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,115669,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,117940,812,1000000,1007549,NULL,70,2,150,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,550000,7,1,46100,NULL,NULL,1,1,46100,1,5,16,609,44,1,?
2013,118880,812,1000000,1007549,NULL,500,2,2,NULL,2,1700,2,1,NULL,NULL,NULL,750000,1,4,64100,NULL,NULL,1,1,64100,1,4,57,3057,56,9,?
2013,119515,812,1000000,1007549,NULL,150,2,2,NULL,1,1300,1,1,NULL,NULL,NULL,325000,2,1,189000,NULL,NULL,1,1,189000,1,3,9,1467,42,1,?
2013,119565,812,1000000,1007549,180,150,2,1,NULL,2,750,2,1,NULL,NULL,NULL,110000,13,NULL,NULL,NULL,NULL,2,4,30000,2,3,45,1122,12,NULL,?
