YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2011,6904,812,1000000,1018237,,70,2,140,,1,2000,1,1,,,,550000,1,2,140000,,,2,1,140000,1,4,19,2240,32,3,?
2011,7200,812,1000000,1018237,,100,2,50,,,,,,550,,,,5,,,700,101,1,6,6300,1,5,,,,,?
2011,7471,812,1000000,1018237,,80,2,70,,,,,,690,,,,4,7,16800,840,60,2,3,16800,1,4,,,,13,?
2011,18921,812,1000000,1018237,,30,2,40,,,,,,1800,,,,1,,,1870,16,1,7,140000,1,1,,,,,?
2011,20111,812,1000000,1018237,,120,2,20,,,,,,900,,,,3,1,50000,1042,25,1,1,50000,1,4,,,,1,?
2011,22443,812,1000000,1018237,,40,2,20,,1,590,1,1,,,,170000,1,,,,,1,6,20400,1,4,39,667,17,,?
2011,25723,812,1000000,1018237,160,130,2,1,,2,600,1,1,,100,,110000,2,1,66000,,,2,1,66000,1,4,18,990,14,1,?
2011,26890,812,1000000,1018237,,40,1,1,,,,,,590,,,,4,,,630,64,1,6,11900,1,1,,,,,?
2011,27907,812,1000000,1018237,,40,2,40,,2,2700,2,1,,,,525000,1,,,,,1,5,336900,1,1,11,3118,28,,?
2011,32701,812,1000000,1018237,,30,2,1,,,,,,1700,,,,1,,,1730,53,1,6,39000,1,1,,,,,?
2011,35381,812,1000000,1018237,,60,2,3,,,,,,1300,,,,9,,,1360,25,1,4,65000,1,1,,,,,?
2011,36106,812,1000000,1018237,,1,1,1,,,,,,210,,,,1,,,210,20,1,6,12600,1,3,,,,,?
2011,36159,812,1000000,1018237,,250,1,2,,,,,,690,,,,4,7,34700,957,33,1,3,34700,1,5,,,,13,?
2011,36199,812,1000000,1018237,,100,2,2,,,,,,1900,,,,10,4,49000,2000,49,1,1,49000,1,3,,,,9,?
2011,37470,812,1000000,1018237,,170,2,70,,,,,,600,,,,3,,,840,59,1,6,17000,1,1,,,,,?
2011,38099,812,1000000,1018237,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,?
2011,38235,812,1000000,1018237,,60,2,10,,2,1500,1,1,,,,330000,2,,,,,2,5,135000,1,2,14,1577,26,,?
2011,38635,812,1000000,1018237,,50,2,80,,2,1500,2,1,,,,300000,1,1,90000,,,1,1,90000,1,2,25,1896,30,1,?
2011,40325,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,40731,812,1000000,1018237,,150,2,70,,,,,,650,,,,1,1,44000,885,24,3,1,44000,1,2,,,,1,?
2011,41347,812,1000000,1018237,,130,2,2,,,,,3,,,,480000,1,4,124320,,,1,1,124320,1,6,6,609,38,9,?
2011,49676,812,1000000,1018237,,2,2,3,,,,,,550,,,,4,,,550,17,1,6,38400,1,3,,,,,?
2011,51226,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,52783,812,1000000,1018237,790,60,2,3,,2,2500,1,1,,,,500000,6,1,101840,,,1,1,101840,1,3,41,3450,47,1,?
2011,56783,812,1000000,1018237,,,,,,,,,,800,,1,,3,,,,,,,,,,,,,,?
2011,58084,812,1000000,1018237,,40,2,100,,1,850,1,1,,180,,300000,1,,,,,1,6,22000,1,6,66,1201,29,,?
2011,59450,812,1000000,1018237,,40,2,10,,1,570,1,1,,200,,180000,3,,,,,1,6,50000,1,6,21,862,18,,?
2011,60307,812,1000000,1018237,210,170,2,3,,2,1700,1,1,,,,130000,12,2,26000,,,1,1,26000,1,3,97,2093,32,6,?
2011,63790,812,1000000,1018237,,,,,,,,,,550,,1,,5,,,,,,,,,,,,,,?
2011,64630,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,70822,812,1000000,1018237,,460,2,3,,1,990,1,1,,580,,300000,3,,,,,1,6,35900,1,7,77,2312,22,,?
2011,71435,812,1000000,1018237,,60,2,4,,1,1200,1,1,,,,245000,9,1,198000,,,1,1,198000,1,4,8,1304,20,1,?
2011,72035,812,1000000,1018237,,110,2,110,,2,750,1,1,,,,250000,8,,,,,1,4,12600,1,4,101,1095,26,,?
2011,74237,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,80930,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,83387,812,1000000,1018237,,80,2,80,,2,1400,1,1,,,,201000,10,,,,,1,5,84400,1,3,23,1592,21,,?
2011,85474,812,1000000,1018237,180,60,2,50,,2,520,1,1,,,,90000,8,,,,,1,7,67000,1,3,15,831,6,,?
2011,86616,812,1000000,1018237,,1,2,1,,,,,,450,,,,1,,,450,42,1,6,12900,1,2,,,,,?
2011,89377,812,1000000,1018237,,40,2,50,,1,1700,1,1,,,,450000,13,1,102000,,,1,1,102000,1,2,21,1794,42,4,?
2011,90458,812,1000000,1018237,,30,2,3,,,,,,650,,,,2,,,680,45,1,4,18000,1,3,,,,,?
2011,91024,812,1000000,1018237,,,,,,,,,,,,3,385000,8,,,,,,,,,,,,,,?
2011,95944,812,1000000,1018237,,30,2,40,,,,,,400,,,,3,,,470,16,1,5,35000,1,3,,,,,?
2011,96292,812,1000000,1018237,,60,2,100,,,,,3,,,,190000,5,4,0,,,1,1,0,1,7,,374,24,9,?
2011,98167,812,1000000,1018237,,30,2,20,,1,1500,1,1,,500,,180000,1,,,,,1,6,88000,1,4,28,2068,26,,?
2011,98379,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,98466,812,1000000,1018237,,230,2,2,,2,1000,2,1,,,,275000,2,,,,,1,6,24000,1,7,77,1530,22,,?
2011,104438,812,1000000,1018237,,,,,,,,,,,,7,,3,,,,,,,,,,,,,,?
2011,105784,812,1000000,1018237,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,106737,812,1000000,1018237,,70,2,100,,1,810,1,1,,,,145000,8,1,82000,,,2,1,82000,1,4,15,1010,17,1,?
2011,108034,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,111315,812,1000000,1018237,,10,2,20,,,,,,200,,,,5,8,12700,230,22,1,3,12700,1,4,,,,15,?
2011,115520,812,1000000,1018237,,80,2,80,,,,,,800,,,,3,7,37000,1000,32,1,3,37000,1,2,,,,13,?
2011,123309,812,1000000,1018237,,1,2,1,,,,,,310,,,,11,6,13200,310,28,5,2,13200,1,3,,,,12,?
2011,124232,812,1000000,1018237,,100,2,10,,1,2000,1,1,,,,350000,1,1,47000,,,1,1,47000,1,3,54,2131,32,1,?
2011,125134,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,130675,812,1000000,1018237,,270,2,80,,2,2400,1,1,,,,315000,1,,,,,1,7,80000,1,3,42,2829,28,,?
2011,135677,812,1000000,1018237,,30,2,20,,,,,,1800,,,,8,,,1852,19,1,7,120000,1,1,,,,,?
2011,138094,812,1000000,1018237,,110,2,2,,,,,,740,,,,3,4,24900,867,42,1,1,24900,1,5,,,,9,?
2011,139234,812,1000000,1018237,280,100,2,1,,2,1800,1,1,,350,,235000,10,,,,,3,7,160000,1,3,19,2538,27,,?
2011,145564,812,1000000,1018237,,120,1,2,,,,,,750,,,,4,7,2000,870,101,1,3,2000,1,3,,,,13,?
2011,146627,812,1000000,1018237,,100,2,70,,1,1700,1,1,,230,,180000,8,1,168000,,,1,1,168000,1,4,15,2126,20,1,?
2011,152021,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,160278,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,160571,812,1000000,1018237,,90,2,1,,,,,,1100,,,,9,,,1190,23,1,6,62000,1,2,,,,,?
2011,161170,812,1000000,1018237,,80,2,130,,1,1600,1,1,,,,250000,1,1,68600,,,1,1,68600,1,5,33,1858,25,1,?
2011,165323,812,1000000,1018237,,30,2,30,,,,,,700,,,,4,,,765,29,4,6,32000,1,1,,,,,?
2011,167020,812,1000000,1018237,,120,2,2,,1,1800,1,1,,,,450000,1,,,,,1,4,75000,1,1,31,1921,34,,?
2011,169332,812,1000000,1018237,,130,2,2,,,,,,,,,,8,7,26300,,,1,3,26300,1,4,,,,14,?
2011,170934,812,1000000,1018237,,40,2,2,,,,,,900,,,,8,,,940,62,1,6,18230,1,1,,,,,?
2011,172045,812,1000000,1018237,,70,2,150,,2,1000,2,1,,600,,400000,1,1,178500,,,3,1,178500,1,6,14,2014,24,1,?
2011,174515,812,1000000,1018237,,170,1,2,,,,,,800,,,,2,,,970,53,1,5,22000,1,4,,,,,?
2011,184190,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,184536,812,1000000,1018237,,100,2,60,,,,,,800,,,,1,,,985,91,1,6,13000,1,2,,,,,?
2011,185402,812,1000000,1018237,,40,2,50,,1,1600,1,1,,,,300000,9,1,128000,,,1,1,128000,1,1,16,1690,37,1,?
2011,186312,812,1000000,1018237,120,50,2,30,,,,,3,,,,295000,8,,,,,1,6,35100,1,4,17,507,42,,?
2011,188509,812,1000000,1018237,,40,1,20,,,,,,910,,,,3,7,18000,970,65,1,3,18000,1,5,,,,13,?
2011,191221,812,1000000,1018237,,160,2,2,,1,920,1,1,,250,,120000,7,1,83000,,,1,1,83000,1,5,20,1392,12,1,?
2011,191629,812,1000000,1018237,,1,2,1,,,,,,550,,,,1,,,550,21,1,6,31000,1,2,,,,,?
2011,192797,812,1000000,1018237,,160,2,3,,,,,,900,,,,5,2,30000,1152,46,2,1,30000,1,1,,,,3,?
2011,192860,812,1000000,1018237,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,?
2011,193656,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,197104,812,1000000,1018237,,100,2,2,,,,,3,,,,150000,5,7,73300,,,1,3,73300,1,5,5,322,23,14,?
2011,198195,812,1000000,1018237,,2,2,3,,,,,,,,,,3,,,,,1,4,0,1,1,,,,,?
2011,198897,812,1000000,1018237,,100,2,100,,1,2800,1,1,,100,,700000,1,1,302200,,,1,1,302200,1,5,12,3146,47,1,?
2011,199818,812,1000000,1018237,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,201700,812,1000000,1018237,,120,2,50,,1,1000,1,1,,210,,250000,1,1,51580,,,1,1,51580,1,5,33,1416,27,2,?
2011,202628,812,1000000,1018237,,2,1,3,,,,,,600,,,,12,,,600,89,1,4,8100,1,2,,,,,?
2011,202749,812,1000000,1018237,,50,2,50,,1,1400,1,1,,,,170000,5,,,,,2,6,12700,1,7,101,1530,12,,?
2011,213962,812,1000000,1018237,790,1,2,1,,,,,3,,,,600000,10,4,86400,,,1,1,86400,1,3,16,1148,45,9,?
2011,214998,812,1000000,1018237,,40,2,100,,1,850,1,1,,180,,360000,1,1,113490,,,1,1,113490,1,6,13,1201,24,1,?
2011,218061,812,1000000,1018237,,200,2,2,,1,1700,1,1,,,,250000,1,3,105000,,,1,1,105000,1,1,22,1925,32,7,?
2011,220203,812,1000000,1018237,,100,2,2,,1,1700,1,1,,300,,180000,8,3,73000,,,1,1,73000,1,5,35,2108,25,7,?
2011,220715,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,220981,812,1000000,1018237,,40,2,30,,1,1900,1,1,,900,,315000,1,,,,,1,6,50000,1,4,71,2945,28,,?
2011,222361,812,1000000,1018237,320,140,2,20,,1,1100,1,1,,,,180000,4,1,101150,,,2,1,101150,1,2,19,1580,20,1,?
2011,223578,812,1000000,1018237,,160,2,2,,1,1200,1,1,,,,200000,4,1,49000,,,2,1,49000,1,4,34,1387,24,1,?
2011,224633,812,1000000,1018237,,80,2,140,,,,,3,,,,193000,3,8,31000,,,1,3,31000,1,7,14,370,22,15,?
2011,225700,812,1000000,1018237,,20,2,70,,,,,,500,,,,4,,,619,24,3,5,30900,2,3,,,,,?
2011,226184,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,?
2011,227305,812,1000000,1018237,,70,2,10,,,,,,730,,,,3,,,810,101,1,6,4000,1,1,,,,,?
2011,228080,812,1000000,1018237,,60,2,2,,1,1400,1,1,,,,220000,3,,,,,1,4,68240,1,2,26,1475,21,,?
2011,228264,812,1000000,1018237,200,70,2,60,,1,1100,1,1,,,,250000,8,,,,,1,4,427000,1,4,4,1430,30,,?
2011,229234,812,1000000,1018237,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,?
2011,230374,812,1000000,1018237,,90,2,3,,,,,,800,,,,1,7,16000,940,71,1,3,16000,1,4,,,,14,?
2011,230502,812,1000000,1018237,,1,2,1,,,,,,200,,,,7,,,200,18,1,4,13700,1,4,,,,,?
2011,235352,812,1000000,1018237,,80,2,120,,1,470,1,1,,,,17500,6,7,73204,,,1,3,73204,1,4,12,702,20,13,?
2011,236013,812,1000000,1018237,,200,2,2,,1,850,1,1,,310,,155000,6,1,116500,,,4,1,116500,1,6,15,1410,12,1,?
2011,239956,812,1000000,1018237,,1,1,1,,,,,,220,,,,3,,,220,28,1,6,9500,1,5,,,,,?
2011,241165,812,1000000,1018237,,90,2,80,,1,2000,2,1,,,,430000,1,1,142100,,,1,1,142100,1,1,20,2344,32,1,?
2011,241736,812,1000000,1018237,,60,2,80,,1,2300,1,1,,,,440000,1,1,205300,,,1,1,205300,1,2,14,2458,30,1,?
2011,244297,812,1000000,1018237,,90,2,30,,1,640,1,1,,,,100000,1,,,,,1,5,50900,1,2,18,777,11,,?
2011,248094,812,1000000,1018237,,190,2,2,,1,1700,1,1,,,,270000,1,1,60500,,,1,1,60500,1,5,38,1910,27,1,?
2011,249025,812,1000000,1018237,,70,2,70,,,,,,800,,,,8,,,940,39,1,6,29000,1,3,,,,,?
2011,249700,812,1000000,1018237,,30,1,40,,,,,,400,,,,3,,,470,54,2,6,10500,1,3,,,,,?
2011,252105,812,1000000,1018237,,70,2,2,,,,,,700,,,,5,,,770,79,1,6,11700,1,4,,,,,?
