YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT
2012,100326,812,1000000,1010207,160,100,2,40,NULL,1,900,1,1,NULL,NULL,NULL,240000,9,NULL,NULL,NULL,NULL,1,6,37200,1,3,39,1200,22,NULL
2012,113308,812,1000000,1010207,NULL,100,2,40,NULL,1,2200,1,1,NULL,NULL,NULL,510000,11,2,135000,NULL,NULL,1,1,135000,1,3,21,2365,62,3
2012,113348,812,1000000,1010207,NULL,40,2,20,NULL,2,1500,1,1,NULL,NULL,NULL,240000,15,1,125000,NULL,NULL,1,1,125000,1,2,15,1581,36,1
2012,113898,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,114267,812,1000000,1010207,180,40,2,20,NULL,2,1100,2,1,NULL,NULL,NULL,200000,11,NULL,NULL,NULL,NULL,4,5,103000,1,4,17,1482,24,NULL
2012,115718,812,1000000,1010207,NULL,50,2,2,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,1,2,57600,550,11,2,1,57600,1,4,NULL,NULL,NULL,3
2012,116228,812,1000000,1010207,NULL,10,2,1,NULL,NULL,NULL,NULL,NULL,550,NULL,NULL,NULL,2,NULL,NULL,560,101,1,4,2500,1,3,NULL,NULL,NULL,NULL
2012,119542,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,120683,812,1000000,1010207,NULL,50,1,50,NULL,NULL,NULL,NULL,NULL,110,NULL,NULL,NULL,6,NULL,NULL,210,28,1,4,8900,1,3,NULL,NULL,NULL,NULL
2012,121258,812,1000000,1010207,NULL,100,2,2,NULL,1,1400,1,1,NULL,NULL,NULL,250000,3,NULL,NULL,NULL,NULL,1,7,280000,1,1,7,1583,21,NULL
2012,121937,812,1000000,1010207,NULL,100,2,100,NULL,1,200,2,1,NULL,NULL,NULL,180000,3,1,90300,NULL,NULL,1,1,90300,1,6,6,478,17,1
2012,122500,812,1000000,1010207,NULL,50,2,3,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,5,NULL,NULL,700,62,1,6,13540,1,4,NULL,NULL,NULL,NULL
2012,123513,812,1000000,1010207,NULL,50,2,20,NULL,2,760,1,1,NULL,100,NULL,90000,8,1,121000,NULL,NULL,1,1,121000,1,4,10,984,17,1
2012,123886,812,1000000,1010207,NULL,40,2,2,NULL,NULL,NULL,NULL,NULL,630,NULL,NULL,NULL,12,NULL,NULL,670,32,1,6,25000,1,1,NULL,NULL,NULL,NULL
2012,123931,812,1000000,1010207,NULL,70,2,60,NULL,1,1500,1,1,NULL,NULL,NULL,128000,7,2,68000,NULL,NULL,2,1,68000,1,4,29,1667,18,3
2012,126811,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,129971,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,131363,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,131962,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,137568,812,1000000,1010207,NULL,140,1,2,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,4,2,127000,850,8,2,1,127000,1,3,NULL,NULL,NULL,3
2012,138422,812,1000000,1010207,NULL,70,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,350000,2,7,86300,NULL,NULL,1,3,86300,1,3,6,454,30,13
2012,140024,812,1000000,1010207,NULL,290,2,150,NULL,1,980,1,1,NULL,NULL,NULL,160000,10,7,31100,NULL,NULL,2,3,31100,1,2,56,1454,32,13
2012,143175,812,1000000,1010207,NULL,110,2,2,NULL,1,1100,1,1,NULL,NULL,NULL,160000,4,1,48400,NULL,NULL,2,1,48400,2,5,31,1250,20,1
2012,143275,812,1000000,1010207,NULL,40,2,60,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,200000,3,NULL,NULL,NULL,NULL,1,6,8800,1,5,54,394,22,NULL
2012,145004,812,1000000,1010207,NULL,130,2,4,NULL,1,560,1,1,NULL,NULL,NULL,150000,1,NULL,NULL,NULL,NULL,1,5,37400,1,5,23,704,12,NULL
2012,148481,812,1000000,1010207,NULL,40,2,70,NULL,1,2000,1,1,NULL,510,NULL,375000,1,NULL,NULL,NULL,NULL,1,6,70000,1,5,46,2659,30,NULL
2012,151021,812,1000000,1010207,NULL,120,2,2,NULL,1,1700,1,1,NULL,900,NULL,145000,5,1,102000,NULL,NULL,1,1,102000,1,5,32,2753,14,1
2012,152138,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,154601,812,1000000,1010207,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,640,NULL,1,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012,156488,812,1000000,1010207,30,80,2,30,NULL,1,620,1,1,NULL,NULL,NULL,120000,8,NULL,NULL,NULL,NULL,1,6,32000,1,3,30,802,24,NULL
2012,156543,812,1000000,1010207,NULL,170,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,180000,1,NULL,NULL,NULL,NULL,1,4,64000,1,7,7,398,21,NULL
2012,159451,812,1000000,1010207,NULL,60,2,50,NULL,1,1100,1,1,NULL,NULL,NULL,135000,8,1,59000,NULL,NULL,1,1,59000,1,5,25,1235,30,1
2012,160933,812,1000000,1010207,NULL,100,2,40,NULL,1,1000,1,1,NULL,NULL,NULL,340000,9,NULL,NULL,NULL,NULL,1,6,101000,1,3,14,1150,68,NULL
2012,166940,812,1000000,1010207,NULL,190,2,2,NULL,NULL,NULL,NULL,NULL,1600,NULL,NULL,NULL,1,8,32600,1793,36,1,3,59100,1,1,NULL,NULL,NULL,15
2012,168400,812,1000000,1010207,NULL,100,2,50,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,175000,10,1,105000,NULL,NULL,2,1,105000,1,4,4,343,24,1
2012,175625,812,1000000,1010207,290,140,2,1,NULL,2,1400,1,1,NULL,NULL,NULL,328000,10,1,132000,NULL,NULL,1,1,132000,1,3,17,1838,23,1
2012,176190,812,1000000,1010207,NULL,30,1,1,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,2,8,4000,680,101,1,3,4000,1,3,NULL,NULL,NULL,15
2012,176790,812,1000000,1010207,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,1700,NULL,NULL,NULL,13,NULL,NULL,1700,15,1,5,132000,1,2,NULL,NULL,NULL,NULL
2012,176820,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,181523,812,1000000,1010207,NULL,100,2,3,NULL,1,1700,1,1,NULL,NULL,NULL,340000,8,7,90000,NULL,NULL,1,3,90000,1,2,24,1803,32,13
2012,183447,812,1000000,1010207,NULL,110,2,2,NULL,1,700,1,1,NULL,330,NULL,141000,5,NULL,NULL,NULL,NULL,1,6,18000,1,3,77,1155,22,NULL
2012,185799,812,1000000,1010207,NULL,70,1,3,NULL,NULL,NULL,NULL,NULL,580,NULL,NULL,NULL,5,7,16800,650,46,1,3,16800,1,3,NULL,NULL,NULL,13
2012,186996,812,1000000,1010207,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,1,1,29300,500,20,3,1,29300,1,2,NULL,NULL,NULL,1
2012,188746,812,1000000,1010207,NULL,20,1,3,NULL,NULL,NULL,NULL,NULL,530,NULL,NULL,NULL,3,NULL,NULL,552,NULL,1,4,0,1,6,NULL,NULL,NULL,NULL
2012,188811,812,1000000,1010207,NULL,1,2,3,NULL,NULL,NULL,NULL,NULL,330,NULL,NULL,NULL,5,NULL,NULL,330,61,2,4,6500,1,5,NULL,NULL,NULL,NULL
2012,188960,812,1000000,1010207,NULL,110,2,50,NULL,1,900,1,1,NULL,NULL,NULL,130000,5,NULL,NULL,NULL,NULL,1,4,50000,1,6,26,1080,23,NULL
2012,189210,812,1000000,1010207,140,110,2,3,NULL,1,990,2,1,NULL,NULL,NULL,140000,9,2,45000,NULL,NULL,1,1,45000,1,4,36,1367,27,3
2012,190484,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,197485,812,1000000,1010207,NULL,80,2,80,NULL,1,1100,1,1,NULL,NULL,NULL,350000,2,1,24000,NULL,NULL,1,1,24000,1,3,64,1285,27,1
2012,200709,812,1000000,1010207,NULL,90,2,2,NULL,1,1500,1,1,NULL,470,NULL,185000,8,1,116900,NULL,NULL,1,1,116900,1,4,22,2123,22,1
2012,201960,812,1000000,1010207,NULL,50,2,30,NULL,1,2000,1,1,NULL,NULL,NULL,480000,8,1,190800,NULL,NULL,1,1,190800,1,5,13,2110,62,1
2012,203652,812,1000000,1010207,NULL,80,2,1,NULL,NULL,NULL,NULL,NULL,200,NULL,NULL,NULL,7,NULL,NULL,280,13,1,5,26400,1,5,NULL,NULL,NULL,NULL
2012,212094,812,1000000,1010207,NULL,230,2,3,NULL,2,400,2,2,NULL,NULL,NULL,17100,5,3,49500,NULL,NULL,1,1,49500,1,5,17,700,10,7
2012,214793,812,1000000,1010207,NULL,30,2,1,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,NULL,1,NULL,NULL,1030,20,1,6,61000,1,2,NULL,NULL,NULL,NULL
2012,220541,812,1000000,1010207,230,70,2,1,NULL,1,530,1,1,NULL,NULL,NULL,240000,1,NULL,NULL,NULL,NULL,1,6,52000,1,1,19,830,32,NULL
2012,222337,812,1000000,1010207,NULL,80,2,2,NULL,1,940,1,1,NULL,NULL,NULL,130000,8,1,70000,NULL,NULL,2,1,70000,1,3,18,1062,14,1
2012,222528,812,1000000,1010207,NULL,150,1,30,NULL,NULL,NULL,NULL,NULL,570,NULL,NULL,NULL,10,7,3100,753,101,1,3,3100,1,1,NULL,NULL,NULL,13
2012,229008,812,1000000,1010207,NULL,120,1,3,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,4,3,16500,770,56,2,1,16500,1,1,NULL,NULL,NULL,7
2012,229921,812,1000000,1010207,NULL,120,1,2,NULL,1,600,1,1,NULL,200,NULL,160000,2,NULL,NULL,NULL,NULL,1,5,35900,1,7,31,923,17,NULL
2012,231952,812,1000000,1010207,NULL,200,2,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,120000,5,1,80900,NULL,NULL,2,1,80900,1,5,4,271,17,1
2012,232868,812,1000000,1010207,NULL,70,2,3,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,4,NULL,NULL,720,101,2,6,630,2,1,NULL,NULL,NULL,NULL
2012,233312,812,1000000,1010207,NULL,100,2,2,NULL,2,3100,1,1,NULL,350,NULL,490000,8,1,375000,NULL,NULL,1,1,375000,1,4,12,3667,47,1
2012,245424,812,1000000,1010207,NULL,290,2,150,NULL,1,2000,1,1,NULL,330,NULL,250000,8,5,155000,NULL,NULL,1,2,155000,1,5,21,2773,16,10
2012,246735,812,1000000,1010207,270,70,2,90,NULL,1,1600,1,1,NULL,NULL,NULL,490000,10,NULL,NULL,NULL,NULL,1,5,275700,1,1,9,2045,63,NULL
2012,248665,812,1000000,1010207,NULL,80,2,140,NULL,NULL,NULL,NULL,NULL,700,NULL,NULL,NULL,5,1,36150,928,31,1,1,36150,1,3,NULL,NULL,NULL,1
2012,249291,812,1000000,1010207,150,30,2,1,NULL,2,330,2,1,NULL,NULL,NULL,75000,8,NULL,NULL,NULL,NULL,2,6,31000,1,3,23,598,18,NULL
2012,252739,812,1000000,1010207,NULL,80,2,50,NULL,2,710,1,1,NULL,NULL,NULL,325000,1,NULL,NULL,NULL,NULL,1,7,103630,1,1,11,922,11,NULL
2012,255401,812,1000000,1010207,NULL,410,1,3,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,8,1,101800,1710,20,1,1,101800,1,4,NULL,NULL,NULL,1
2012,257130,812,1000000,1010207,NULL,100,2,100,NULL,NULL,NULL,NULL,NULL,750,NULL,NULL,NULL,1,NULL,NULL,983,29,1,4,41000,1,4,NULL,NULL,NULL,NULL
2012,259342,812,1000000,1010207,NULL,40,2,80,NULL,1,1100,1,1,NULL,NULL,NULL,229000,1,NULL,NULL,NULL,NULL,1,7,94600,1,3,16,1235,23,NULL
2012,260272,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,261688,812,1000000,1010207,NULL,140,2,10,NULL,1,1500,2,1,NULL,NULL,NULL,390000,15,NULL,NULL,NULL,NULL,1,5,70000,1,1,33,1918,42,NULL
2012,267996,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,275063,812,1000000,1010207,NULL,30,2,1,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,NULL,6,NULL,NULL,1030,33,4,7,38000,1,1,NULL,NULL,NULL,NULL
2012,282789,812,1000000,1010207,NULL,110,2,110,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,900000,1,2,250050,NULL,NULL,2,1,250050,2,6,3,561,32,3
2012,283783,812,1000000,1010207,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,284103,812,1000000,1010207,NULL,90,2,100,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,136000,2,NULL,NULL,NULL,NULL,1,4,48400,1,6,9,369,14,NULL
2012,285814,812,1000000,1010207,NULL,250,2,3,NULL,1,1000,1,1,NULL,NULL,NULL,100000,1,7,186900,NULL,NULL,1,3,186900,1,6,9,1325,14,13
2012,286256,812,1000000,1010207,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,200,NULL,NULL,NULL,6,NULL,NULL,200,29,1,6,8400,1,4,NULL,NULL,NULL,NULL
2012,286950,812,1000000,1010207,NULL,70,1,40,NULL,1,1100,1,1,NULL,NULL,NULL,127000,6,2,32900,NULL,NULL,2,1,32900,2,4,46,1258,42,3
2012,287075,812,1000000,1010207,NULL,20,2,3,NULL,NULL,NULL,NULL,NULL,600,NULL,NULL,NULL,5,NULL,NULL,620,74,2,4,10000,1,6,NULL,NULL,NULL,NULL
2012,287524,812,1000000,1010207,NULL,150,2,80,NULL,2,220,2,1,NULL,NULL,NULL,207000,3,NULL,NULL,NULL,NULL,1,6,107000,1,7,8,693,22,NULL
2012,289170,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,291772,812,1000000,1010207,NULL,200,2,20,NULL,2,1800,1,1,NULL,NULL,NULL,370000,1,NULL,NULL,NULL,NULL,1,5,80000,1,1,31,2065,24,NULL
2012,292276,812,1000000,1010207,NULL,100,1,100,NULL,1,1100,1,1,NULL,NULL,NULL,137000,7,2,84940,NULL,NULL,1,1,84940,1,4,21,1500,22,3
2012,298441,812,1000000,1010207,NULL,70,2,10,NULL,1,1000,1,1,NULL,NULL,NULL,230000,1,1,166000,NULL,NULL,1,1,166000,1,3,8,1082,24,1
2012,302357,812,1000000,1010207,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,500,NULL,NULL,NULL,2,NULL,NULL,500,18,2,4,33000,1,4,NULL,NULL,NULL,NULL
2012,303574,812,1000000,1010207,NULL,90,1,3,NULL,NULL,NULL,NULL,NULL,200,NULL,NULL,NULL,4,NULL,NULL,290,NULL,1,6,0,1,4,NULL,NULL,NULL,NULL
2012,305172,812,1000000,1010207,NULL,150,2,40,NULL,1,1700,1,1,NULL,NULL,NULL,287000,1,1,132500,NULL,NULL,1,1,132500,1,3,17,1900,29,1
